idNeighborhood;name
1;Abrantes
2;Acacias
3;Adelfas
4;Aeropuerto
5;Águilas
6;Alameda de Osuna
7;Almagro
8;Almenara
9;Almendrales
10;Aluche
11;Ambroz
12;Amposta
13;Apóstol Santiago
14;Arapiles
15;Aravaca
16;Arcos
17;Argüelles
18;Atalaya
19;Atocha
20;Bellas Vistas
21;Berruguete
22;Buenavista
23;Butarque
24;Campamento
25;Canillas
26;Canillejas
27;Casa de Campo
28;Casco Histórico de Barajas
29;Casco Histórico de Vallecas
30;Casco Histórico de Vicálvaro
31;Castellana
32;Castilla
33;Castillejos
34;Ciudad Jardín
35;Ciudad Universitaria
36;Colina
37;Comillas
38;Concepción
39;Corralejos
40;Cortes
41;Costillares
42;Cuatro Caminos
43;Cuatro Vientos
44;Chopera
45;Delicias
46;El Goloso
47;El Pardo
48;El Plantío
49;El Viso
50;Embajadores
51;Ensanche de Vallecas
52;Entrevías
53;Estrella
54;Fontarrón
55;Fuente del Berro
56;Fuentelarreina
57;Gaztambide
58;Goya
59;Guindalera
60;Hellín
61;Hispanoamérica
62;Horcajo
63;Ibiza
64;Imperial
65;Jerónimos
66;Justicia
67;La Paz
68;Legazpi
69;Lista
70;Los Angeles
71;Los Cármenes
72;Los Rosales
73;Lucero
74;Marroquina
75;Average Legua
76;Mirasierra
77;Moscardó
78;Niño Jesús
79;Nueva España
80;Numancia
81;Opañel
82;Orcasitas
83;Orcasur
84;Pacífico
85;Palacio
86;Palomas
87;Palomeras Bajas
88;Palomeras Sureste
89;Palos de Moguer
90;Pavones
91;Peña Grande
92;Pilar
93;Pinar del Rey
94;Piovera
95;Pertazgo
96;Pradolongo
97;Prosperidad
98;Pueblo Nuevo
99;Puerta Bonita
100;Puerta del Angel
101;Quintana
102;Recoletos
103;Rejas
104;Ríos Rosas
105;Rosas
106;Salvador
107;San Andrés
108;San Cristóbal
109;San Diego
110;San Fermín
111;San Isidro
112;San Juan Bautista
113;San Pascual
114;Santa Eugenia
115;Simancas
116;Sol
117;Timón
118;Trafalgar
119;Universidad
120;Valdeacederas
121;Valdefuentes
122;Valdemarín
123;Valdezarza
124;Valverde
125;Vallehermoso
126;Ventas
127;Vinateros
128;Vista Alegre
129;Zofío
130;Arroyo del Fresno
131;Las Tablas
132;Manoteras
133;Montecarmelo
134;Sanchinarro
